Symbol,Security Name,Industry
VSTIND,VST Industries Ltd.,CONSUMER GOODS
VAIBHAVGBL,Vaibhav Global Ltd.,CONSUMER GOODS
VAKRANGEE,Vakrangee Ltd.,IT
YTL,Vardhman Textiles Ltd.,TEXTILES
VARROC,Varroc Engineering Ltd.,AUTOMOBILE
VBL,Varun Beverages Ltd.,CONSUMER GOODS
VEDL,Vedanta Ltd.,METALS
VENKEYS,Venky's (India) Ltd.,CONSUMER GOODS
VESUVIUS,Vesuvius India Ltd.,
VINATIORGA,Vinati Organics Ltd.,
IDEA,Vodafone Idea Ltd.,
VOLTAS,Voltas Ltd.,
WABCOINDIA,WABCO India Ltd.,
WELCORP,Welspun Corp Ltd.,
WELSPUNIND,Welspun India Ltd.,
WESTLIFE,Westlife Development Ltd.,
WHIRLPOOL,Whirlpool of India Ltd.,
WIPRO,Wipro Ltd.,
WOCKPHARMA,Wockhardt Ltd.,
ZEEL,Zee Entertainment Enterprises Ltd.,
ZENSARTECH,Zensar Technolgies Ltd.,
ZYDUSWELL,Zydus Wellness Ltd.,
ECLERX,eClerx Services Ltd.,
